"sampleBlogs.txt";"sampleNews.txt";"sampleTwitter.txt"
"countri after";7;0;0
"countri all";19;0;0
"countri and";100;29;0
"countri ani";0;11;0
"countri are";0;3;0
"countri beef";0;1;0
"countri but";64;30;0
"countri call";0;36;0
"countri citi";32;0;0
"countri club";0;8;0
"countri code";0;33;0
"countri day";0;7;0
"countri etc";39;0;0
"countri for";4;0;0
"countri given";0;38;0
"countri has";0;0;19
"countri have";7;10;0
"countri in";0;6;0
"countri is";37;43;41
"countri life";24;0;0
"countri like";0;5;0
"countri mani";3;0;0
"countri meet";0;0;6
"countri music";0;0;21
"countri need";0;14;0
"countri niemi";0;43;0
"countri of";30;0;0
"countri on";39;0;0
"countri or";26;0;0
"countri popul";0;39;0
"countri practic";14;0;0
"countri problem";0;1;0
"countri she";7;0;0
"countri sinc";0;33;0
"countri so";3;0;0
"countri suppos";2;0;0
"countri that";1;0;0
"countri the";18;41;0
"countri this";0;12;7
"countri to";0;74;57
"countri trigger";0;3;0
"countri was";24;0;0
"countri we";0;44;0
"countri well";11;0;0
"countri were";34;0;0
"countri whi";0;0;5
"countri which";0;30;0
"countri whose";0;10;0
"countri with";26;0;44
"countri without";13;0;0
"countri worri";0;11;0
"country’ author";1;0;0
"country’ histor";9;0;0
"country’ scientif";26;0;0
"countrysid council";2;0;0
"countywid evalu";0;5;0
"coupl alik";0;1;0
"coupl attend";0;35;0
"coupl close";0;0;1
"coupl cow";0;0;44
"coupl dash";1;0;0
"coupl day";0;0;68
"coupl exampl";2;0;0
"coupl except";15;0;0
"coupl famili";18;0;0
"coupl great";19;0;0
"coupl guy";0;2;0
"coupl has";0;45;0
"coupl hour";9;0;75
"coupl in";2;1;1
"coupl month";16;0;0
"coupl newlyw";11;0;0
"coupl of";169;138;24
"coupl or";21;0;0
"coupl other";36;19;0
"coupl poehler";0;1;0
"coupl receiv";0;1;0
"coupl that";34;0;0
"coupl the";0;10;0
"coupl thou";0;0;2
"coupl tiva";0;0;1
"coupl tow";11;0;0
"coupl two";0;5;0
"coupl who";0;6;0
"couplet ever";0;4;0
"coupon code";0;0;63
"coupon out";0;11;0
"courag but";18;0;0
"courag doe";44;0;0
"courag had";44;0;0
"courag lose";0;0;39
"courag patienc";5;0;0
"courag perhap";18;0;0
"courag to";50;0;40
"courag would";1;0;0
"courant theme";0;40;0
"courier were";0;25;0
"courierlif produc";33;0;0
"cours �";10;0;0
"cours abc";17;0;0
"cours and";13;0;0
"cours as";19;0;0
"cours automat";44;0;0
"cours began";17;0;0
"cours best";0;0;45
"cours blah";0;0;5
"cours but";5;0;8
"cours convers";0;0;10
"cours dress";1;0;0
"cours each";0;10;0
"cours everyon";16;0;0
"cours german";24;0;0
"cours haha";0;0;56
"cours hartofdixi";0;0;4
"cours i";46;49;86
"cours i’ll";34;0;0
"cours in";0;21;5
"cours is";0;31;11
"cours it";72;0;71
"cours k���a";7;0;0
"cours life";11;0;0
"cours made";0;2;0
"cours most";29;0;0
"cours neversaynev";0;0;2
"cours no";12;0;0
"cours of";48;109;0
"cours or";16;0;0
"cours our";0;0;10
"cours riley";0;36;0
"cours she";33;0;0
"cours shoot";0;9;0
"cours stare";0;13;0
"cours start";31;0;0
"cours still";39;0;0
"cours the";104;33;0
"cours there";14;0;0
"cours they’r";41;0;0
"cours this";0;35;0
"cours those";1;0;0
"cours to";0;1;0
"cours ultim";0;2;0
"cours video";0;44;0
"cours was";0;1;0
"cours we";0;15;0
"cours will";0;17;0
"cours would";0;0;47
"cours yes";16;0;0
"cours your";0;15;21
"court a";13;0;0
"court alon";0;15;0
"court and";45;40;0
"court appear";13;7;0
"court appel";0;19;0
"court as";0;2;0
"court battl";0;5;0
"court brief";0;32;0
"court came";0;3;0
"court card";11;0;0
"court case";0;13;0
"court conclud";49;0;0
"court corpor";0;11;0
"court coverag";0;4;0
"court cvs";0;16;0
"court decis";0;62;0
"court document";0;71;0
"court doe";0;16;0
"court er";0;23;0
"court file";0;30;0
"court had";0;19;0
"court has";0;45;0
"court he";0;37;0
"court hear";0;20;0
"court in";12;133;0
"court is";23;0;0
"court judg";0;6;0
"court liber";0;11;0
"court monday";0;29;0
"court most";0;5;0
"court near";9;0;0
"court no";38;0;0
"court of";39;22;0
"court on";13;0;0
"court open";0;1;0
"court order";0;3;0
"court paper";0;34;0
"court record";0;45;0
"court revers";0;3;0
"court rori";42;0;0
"court rule";0;60;0
"court said";0;6;0
"court spitz";0;23;0
"court supervis";0;30;0
"court the";0;1;0
"court to";41;1;0
"court where";15;0;0
"court would";7;0;0
"court yard";3;0;0
"court’ opinion";23;0;0
"courtappoint deadlin";0;4;0
"courtesi marti";1;0;0
"courtesi of";39;2;36
"courtesi to";1;0;0
"courthous in";0;15;0
"courthous lawn";0;21;0
"courtney upshaw";0;36;0
"courtord therapi";0;7;0
"courtroom and";0;15;0
"courtroom he";0;23;0
"courtroom in";0;17;0
"courtroom just";30;0;0
"courtroom the";13;0;0
"courtthi is";0;0;1
"courtyard and";0;6;0
"couscous and";39;0;0
"couscous pearl";39;0;0
"cousin best";0;0;14
"cousin but";0;0;19
"cousin he";2;0;0
"cousin is";0;0;8
"cousin mike";33;0;0
"cousin she";15;0;0
"cousin who";0;5;0
"coutur dress";10;0;0
"coutur in";31;0;0
"coutur mayb";0;0;11
"coutur she";20;0;0
"couzen pour";0;15;0
"cove a";0;8;0
"cove guid";0;0;17
"cove peterson";0;22;0
"coven brood";34;0;0
"coventri cleveland";0;41;0
"coventri pond";0;32;0
"cover a";0;54;0
"cover about";0;6;0
"cover add";5;0;0
"cover all";6;0;0
"cover and";4;0;0
"cover band";0;0;11
"cover bridg";37;0;0
"cover but";29;0;0
"cover button";2;0;0
"cover by";6;0;0
"cover everi";0;8;0
"cover follow";40;0;0
"cover his";0;17;0
"cover how";1;0;0
"cover i";38;0;0
"cover in";37;6;0
"cover insecur";0;20;0
"cover letter";0;0;18
"cover mani";0;13;0
"cover me";20;0;0
"cover most";1;0;0
"cover occupymilwauke";0;0;26
"cover of";31;0;0
"cover oh";3;0;0
"cover over";0;0;6
"cover pajama";0;0;69
"cover recent";0;1;0
"cover religi";0;30;0
"cover show";0;25;0
"cover some";0;0;12
"cover sour";0;3;0
"cover sport";11;0;0
"cover the";3;92;0
"cover to";9;0;45
"cover up";0;58;0
"cover with";5;0;0
"cover yourself";32;0;0
"coverag anymor";0;0;27
"coverag but";0;2;0
"coverag given";0;23;0
"coverag i";0;0;3
"coverag of";0;2;58
"coverag than";0;2;0
"coverag was";0;4;0
"coverag will";0;0;16
"coverage—despit the";1;0;0
"covert establish";43;0;0
"covet free";0;8;0
"covet presidenti";0;5;0
"covet prospect";0;1;0
"covet racereadi";0;3;0
"cow bell";0;0;59
"cow herd";0;1;0
"cow now";0;0;44
"cow so";0;0;44
"coward becaus";5;0;0
"cowbel mix";0;40;0
"cowboy as";0;56;0
"cowboy at";19;0;0
"cowboy b";0;37;0
"cowboy decid";19;0;0
"cowboy fan";2;0;0
"cowboy he";19;0;0
"cowboy look";19;0;0
"cowboy messag";0;46;0
"cowboy stadium";0;0;16
"cowboy who";19;0;0
"cowel continu";0;14;0
"cowel has";0;14;0
"cower in";2;0;0
"cowgirl action";7;0;0
"cowgirl in";16;0;0
"cowork and";22;0;0
"cowork are";0;0;8
"cowork from";0;5;0
"cowork said";0;29;0
"cowork whom";7;0;0
"coworld member";0;0;21
"cox attorney";0;2;0
"cox communic";0;26;0
"cox said";0;16;0
"coyli the";5;0;0
"coyot are";0;39;0
"coyot eras";0;18;0
"coyot goali";0;21;0
"coyot lead";0;18;0
"cozi cone";0;1;0
"cp lake";0;0;2
"cpchat how";0;0;47
"cpr but";0;1;0
"cps encount";0;6;0
"cq what";0;0;3
"crab and";0;0;9
"crab can";0;1;0
"crab expert";0;1;0
"crab salad";14;0;0
"crab yourself";0;1;0
"crabappl area";0;17;0
"crabbi ambival";0;42;0
"crabbi becaus";32;0;0
"crack at";46;0;0
"crack down";37;0;0
"crack hous";0;0;49
"crack if";0;0;57
"crack in";0;70;0
"crack myself";0;0;54
"crack or";0;23;0
"crack plaster";0;1;0
"crack rock";0;14;0
"crack the";0;1;0
"crack up";0;0;14
"crackdown on";0;10;0
"cracker barrel";0;0;3
"cracker or";0;10;0
"cracker th";44;0;0
"crackl chemistri";0;21;0
"crackl of";0;2;0
"craft ‘white’";33;0;0
"craft an";0;2;0
"craft and";0;3;0
"craft apart";1;0;0
"craft beer";0;30;0
"craft breweri";25;0;0
"craft canning";1;0;0
"craft challeng";11;0;0
"craft desk";38;0;0
"craft fabric";0;23;0
"craft fair";30;0;0
"craft for";30;0;0
"craft has";1;0;0
"craft help";0;18;0
"craft i";23;0;0
"craft knockout";31;0;0
"craft of";0;16;0
"craft reform";0;1;0
"craft squab";0;26;0
"craft the";0;2;0
"craft u";2;0;0
"craft usag";1;0;0
"craft who";0;18;0
"craft world";0;9;0
"craftcult heartomat";2;0;0
"crafti for";27;0;0
"craftopoli treasuri";2;0;0
"craig then";0;22;0
"craig veto";0;22;0
"craigmillar festiv";9;0;0
"craigslist to";0;4;0
"crain out";0;34;0
"cram even";0;30;0
"cram with";0;27;0
"cramp curious";1;0;0
"cranberri and";24;0;0
"crane owner";0;32;0
"craneoff the";25;0;0
"cranki and";0;0;42
"crap about";0;0;6
"crap im";0;0;57
"crap it";0;0;2
"crap out";43;0;0
"crap that";0;0;30
"crap with";0;0;57
"crapo park";22;0;0
"crash against";35;0;0
"crash along";0;7;0
"crash cymbal";0;1;0
"crash he";0;20;0
"crash his";0;25;0
"crash i";0;0;58
"crash kink";0;10;0
"crash report";0;27;0
"crash said";0;41;0
"crash through";0;17;0
"craska subdu";0;1;0
"crate out";0;0;1
"crater and";0;36;0
"crave mapl";0;0;22
"crave none";6;0;0
"crave some";0;0;17
"craven use";0;0;5
"crawford emeritus";0;1;0
"crawford got";0;4;0
"crawford said";0;29;0
"crawford say";0;18;0
"crawl around";0;0;32
"crayon color";15;0;0
"crayon then";34;0;0
"crazi and";0;0;53
"crazi at";0;0;42
"crazi bitch";0;0;55
"crazi busi";0;0;24
"crazi but";29;0;52
"crazi d";0;0;19
"crazi dog";11;0;0
"crazi foghat";0;0;51
"crazi good";0;0;11
"crazi hes";25;0;0
"crazi hook";0;0;48
"crazi in";25;0;0
"crazi it";18;0;0
"crazi laughter";8;0;0
"crazi margarita";0;0;10
"crazi onli";0;0;37
"crazi or";25;0;37
"crazi peopl";0;0;2
"crazi politic";0;0;59
"crazi sweet";30;0;0
"crazi talk";1;0;0
"crazi teacher";4;0;0
"crazi therefor";15;0;0
"crazi thing";2;0;0
"crazi to";0;36;0
"crazi town";0;0;59
"crazi we";28;0;0
"crazi week";0;0;53
"crazi when";0;0;3
"crazi wild";34;0;0
"crazi year";0;0;1
"crazili useless";8;0;0
"crazyass season";0;0;61
"crazyawesom new";0;2;0
"crazybusi work";0;0;37
"crct score";0;30;0
"cream and";17;11;0
"cream as";22;0;0
"cream chees";0;11;0
"cream citi";0;0;30
"cream cone";0;42;0
"cream fill";22;0;0
"cream japanes";0;11;0
"cream of";0;10;0
"cream off";22;0;0
"cream on";22;0;0
"cream plain";0;26;0
"cream social";0;0;61
"cream syrup";0;37;0
"cream the";0;36;0
"cream this";1;0;0
"cream togeth";17;0;0
"cream tomorrow";0;0;8
"creami curri";0;0;48
"creami gain";0;2;0
"creami rich";14;0;0
"creami they";11;0;0
"creat a";144;216;62
"creat ‘an";30;0;0
"creat ammonium";51;0;0
"creat an";10;2;0
"creat baltimor";0;19;0
"creat by";99;66;0
"creat campaign";26;0;0
"creat clear";0;39;0
"creat cross";2;0;0
"creat dew";0;6;0
"creat dire";1;0;0
"creat especi";29;0;0
"creat even";1;0;0
"creat everyday";0;0;16
"creat fiction";9;0;0
"creat from";17;0;0
"creat i";36;0;0
"creat imag";13;0;0
"creat in";0;29;0
"creat it";48;0;21
"creat leonard";0;0;2
"creat less";0;36;0
"creat million";0;40;0
"creat more";1;20;0
"creat my";0;18;0
"creat new";79;0;0
"creat no";0;18;0
"creat over";0;22;0
"creat public";0;11;0
"creat rt";0;0;12
"creat safer";0;5;0
"creat serious";0;2;0
"creat solid";0;44;0
"creat someth";23;0;0
"creat station";0;12;0
"creat suffici";1;0;0
"creat techno";0;0;15
"creat the";51;65;0
"creat their";50;17;0
"creat three";0;12;0
"creat threedimension";0;40;0
"creat to";0;8;0
"creat too";0;0;31
"creat turnov";0;38;0
"creat use";29;0;0
"creat valu";0;0;15
"creat wealth—befor";41;0;0
"creat wellround";0;27;0
"creat what";20;0;0
"creat with";56;0;0
"creat wordpress";0;0;48
"creat work";0;9;0
"creatinin clearanc";0;17;0
"creation is";0;0;48
"creation leav";12;0;0
"creation of";28;105;0
"creation the";8;0;0
"creation they";29;0;0
"creativ and";9;10;0
"creativ back";26;0;0
"creativ both";26;0;0
"creativ but";32;0;0
"creativ design";0;25;0
"creativ express";0;0;28
"creativ financ";0;22;0
"creativ generos";35;0;0
"creativ genius";20;0;0
"creativ hotel";0;32;0
"creativ keep";0;0;51
"creativ kidstuff";0;3;0
"creativ kut";87;0;0
"creativ leadership";0;0;31
"creativ meet";0;0;1
"creativ passion";40;0;0
"creativ play";0;0;1
"creativ playmak";0;1;0
"creativ process";0;6;0
"creativ refuel";0;0;15
"creativ retreat";1;0;0
"creativ she";13;0;0
"creativ side";29;0;0
"creativ team";0;2;0
"creativ their";0;40;0
"creativ think";0;3;0
"creativ type";31;0;0
"creativ vacat";0;29;0
"creativ vision";31;0;0
"creativ write";14;0;0
"creativ xd";0;0;48
"creator adam";0;27;0
"creator energi";37;0;0
"creator ralph";0;0;39
"creatur befor";0;0;3
"creatur cage";0;34;0
"creatur of";16;0;0
"creatur wasnt";0;1;0
"creatur which";35;0;0
"credenti and";0;13;0
"credenti that";0;45;0
"credibl but";0;0;51
"credibl for";0;0;5
"credibl threat";4;0;0
"credit as";40;0;0
"credit car";0;34;0
"credit card";28;40;44
"credit for";40;113;1
"credit getti";1;0;0
"credit has";0;11;0
"credit includ";0;24;0
"credit iron";0;0;1
"credit it";0;0;56
"credit line";0;0;3
"credit mackensi";9;0;0
"credit mani";0;22;0
"credit stinger";5;0;0
"credit the";0;16;0
"credit this";0;0;7
"credit to";49;57;0
"credit with";0;5;0
"creditor committe";0;18;0
"creditr firm";0;6;0
"credul and";1;0;0
"creek a";0;13;0
"creek —";0;32;0
"creek and";0;27;0
"creek bridg";0;43;0
"creek inn";0;32;0
"creek iron";0;38;0
"creek neighbor";0;17;0
"creek north";0;0;22
"creek on";0;1;0
"creek pm";0;15;0
"creek through";0;3;0
"creek will";0;0;3
"creep as";0;0;4
"creep in–";1;0;0
"creep me";0;0;28
"creep on";0;0;3
"creep over";0;22;0
"creepi in";0;0;5
"cremat societi";0;22;0
"creme pie";0;11;0
"crenshaw strip";0;2;0
"crepe or";0;0;9
"crespo dbronx";0;26;0
"crest wrote";0;6;0
"crestview hill";2;0;0
"crew at";0;0;46
"crew chief";0;39;0
"crew clean";0;14;0
"crew from";0;43;0
"crew includ";0;1;0
"crew j";0;0;31
"crew knew";0;32;0
"crew member";0;1;0
"crew of";0;39;0
"crew rehab";0;10;0
"crew up";0;0;43
"crew was";0;22;0
"crew will";0;37;0
"crew work";0;1;0
"crewman on";6;0;0
"cri after";0;46;0
"cri and";31;28;0
"cri at";15;0;0
"cri but";0;0;2
"cri everi";0;0;2
"cri for";0;24;0
"cri if";0;0;4
"cri in";0;0;59
"cri jag";0;20;0
"cri late";0;0;1
"cri laughinglmao";0;0;31
"cri out";7;0;0
"cri over";4;0;0
"cri so";18;0;0
"cri the";3;2;0
"cri to";49;0;0
"cri travail";9;0;0
"cri we";0;18;0
"cri well";10;0;0
"cri when";5;0;0
"cri with";0;0;23
"cri wolf";0;0;12
"cri you";0;2;0
"cri your";0;0;84
"crib someth";0;0;58
"cricket at";17;0;0
"cricket have";0;0;1
"cricket lol";0;0;44
"cricket match";17;0;0
"cricket team";17;0;0
"cricket to";17;0;0
"cricut everyday";3;0;0
"crime and";3;0;0
"crime as";36;0;0
"crime but";0;59;0
"crime dure";0;5;0
"crime fiction";0;1;0
"crime for";1;0;0
"crime in";38;0;0
"crime includ";0;10;0
"crime involv";0;23;0
"crime is";1;0;0
"crime it";1;0;0
"crime itself";4;0;0
"crime of";10;16;0
"crime prevent";8;0;0
"crime scene";0;4;0
"crime section";0;5;0
"crime someon";0;0;21
"crime such";1;0;0
"crime that";0;5;0
"crime thriller";36;0;0
"crime was";0;3;0
"crime with";0;0;9
"crime writer";2;0;0
"crimin action";0;41;0
"crimin albert";2;0;0
"crimin at";1;0;0
"crimin background";0;68;0
"crimin defens";0;2;0
"crimin in";0;0;43
"crimin investig";0;55;0
"crimin john";0;17;0
"crimin justic";0;6;0
"crimin method";29;0;0
"crimin possess";34;0;0
"crimin psych";4;0;0
"crimin record";0;32;0
"crimin sentenc";0;15;0
"crimin themselv";4;0;0
"crimin these";0;39;0
"crimin today";43;0;0
"crimin who";0;26;0
"crimin wrongdo";0;17;0
"crimitr for";38;0;0
"crimper someon";0;0;1
"crimson cloud";2;0;0
"cring as";3;0;0
"cringeworthi and";0;1;0
"crippl servic";0;20;0
"crisi anytim";0;23;0
"crisi but";24;0;0
"crisi consent";0;0;55
"crisi dehaen";0;8;0
"crisi he";2;0;0
"crisi hotlin";0;11;0
"crisi in";0;1;0
"crisi just";5;0;0
"crisi of";10;34;0
"crisi smallbank";0;10;0
"crisi they";0;21;0
"crisi wallac";0;32;0
"crisi we";0;38;0
"crisp edg";14;0;0
"crisp for";49;0;0
"crisp morn";7;0;0
"crisp well";12;0;0
"crisp with";26;0;0
"crisp zing";3;0;0
"crispi noodl";0;18;0
"cristo rey";0;0;28
"criterion edit";1;0;0
"critic analys";0;0;2
"critic and";18;0;0
"critic current";0;1;0
"critic destroy";0;0;4
"critic disagr";0;39;0
"critic facet";18;0;0
"critic foley";0;7;0
"critic for";24;0;0
"critic from";0;55;0
"critic ghost";0;33;0
"critic have";1;0;0
"critic he";6;0;0
"critic id";0;39;0
"critic in";0;1;0
"critic issu";0;28;0
"critic it";0;1;0
"critic jame";0;6;0
"critic moment";5;0;0
"critic now";0;8;0
"critic of";88;19;0
"critic piec";16;0;0
"critic polici";0;2;0
"critic presid";0;39;0
"critic say";0;1;0
"critic see";0;21;0
"critic spirit";20;0;0
"critic stab";0;6;0
"critic the";32;43;0
"critic truffaut";1;0;0
"criticis so";36;0;0
"criticis the";3;0;0
"critiqu of";41;0;0
"critter and";0;0;58
"critter that";0;6;0
"croatian cook";0;27;0
"crochet a";1;0;0
"crochet i";30;0;0
"crochet isn’t";30;0;0
"crochet pattern";30;0;0
"crochet project";30;0;0
"crock pot";2;0;0
"crockpot is";38;0;0
"crocodil to";23;0;0
"croix valley";0;1;0
"cromwel crawford";0;1;0
"crone and";9;0;0
"crook offici";0;31;0
"croom alton";26;0;0
"crop failur";0;0;21
"crop of";0;3;0
"crop or";26;0;0
"crop the";0;2;0
"cropper said";0;1;0
"crore earthern";9;0;0
"cross a";16;0;0
"cross all";17;0;0
"cross between";0;0;49
"cross complet";0;17;0
"cross countri";0;16;0
"cross daili";17;0;0
"cross from";0;30;0
"cross hatch";2;0;0
"cross islip";33;0;0
"cross like";0;24;0
"cross my";0;0;1
"cross of";17;0;0
"cross product";0;17;0
"cross riverrink";0;0;14
"cross road";27;9;0
"cross the";91;3;0
"cross their";25;0;0
"cross to";2;0;0
"cross your";0;21;0
"crosser and";14;0;0
"crossfit sweat";0;0;33
"crotch not";0;0;42
"crouch at";0;39;0
"crow a";12;0;0
"crow she";12;0;0
"crow to";0;19;0
"crow weav";0;0;2
"crowd and";45;19;0
"crowd at";0;14;0
"crowd back";0;32;0
"crowd behbehanian";0;2;0
"crowd built";0;24;0
"crowd for";1;0;0
"crowd in";0;42;0
"crowd is";1;0;0
"crowd made";22;0;0
"crowd my";2;0;0
"crowd of";16;77;0
"crowd on";0;40;0
"crowd parti";0;0;38
"crowd reaction";0;33;0
"crowd scream";0;27;0
"crowd some";0;8;0
"crowd spokeleek";0;0;1
"crowd the";0;13;0
"crowd turn";0;34;0
"crowd were";0;5;0
"crowd which";18;0;0
"crowd you";0;0;6
"crowder pea";32;0;0
"crowdsourc analyt";0;0;4
"crowley is";0;21;0
"crown –";32;0;0
"crown base";18;0;0
"crown for";25;0;0
"crown himself";26;0;0
"crown in";0;1;0
"crown jewel";47;0;0
"crown the";1;0;0
"crown wing";1;0;0
"crownn urban";0;0;21
"crtasa work";0;0;45
"crucial knowledg";35;0;0
"crucial role";0;41;0
"crucial step";6;0;0
"crucial to";0;64;0
"crucifix but";4;0;0
"crucifixion and";2;0;0
"crucifixion as";31;0;0
"crucifixion but";1;0;0
"crude cardboard";0;1;0
"crude oil";0;23;57
"cruel joke";1;0;0
"cruelli effect";33;0;0
"cruelti on";0;11;0
"cruis back";25;0;0
"cruis in";0;3;0
"cruis line";0;0;70
"cruis name";26;0;0
"cruis offer";0;3;0
"cruis passeng";0;3;0
"cruis ship";0;42;0
"cruis termin";0;3;0
"cruis tonight";0;0;4
"cruiser gave";0;31;0
"cruiser model";16;0;0
"crumbl add";2;0;0
"crumbl in";0;18;1
"crumbl love";0;0;29
"crumpl to";0;5;0
"crunch which";22;0;0
"crusad to";0;1;0
"crush eggshel";8;0;0
"crush is";0;0;8
"crush it";0;0;29
"crush leg";0;0;21
"crush mayb";38;0;0
"crush my";0;31;0
"crush on";46;0;41
"crush which";9;0;0
"crush wine";0;7;0
"cruso is";18;0;0
"crust doe";2;0;0
"crust from";0;34;0
"crust hold";2;0;0
"crust of";0;11;0
"crust or";0;10;0
"crust pork";2;0;0
"crustacea class";22;0;0
"crux of";2;0;0
"cruz greet";0;11;0
"cruz said";0;35;0
"cruz who";0;2;0
"crystal clear";1;0;0
"crystal hmmm";1;0;0
"crystal lake";5;0;0
"crystal lot";20;0;0
"crystal on";0;0;11
"crystal prism";41;0;0
"crystal skull";23;0;0
"crystal that";2;0;0
"crystal vision";36;0;0
"crystal vision’";18;0;0
"crystalblu water";0;37;0
"crystalset tabl";0;3;0
"cs blow";0;0;17
"cs lewis’";27;0;0
"csi trust";0;0;9
"csir confer";5;0;0
"csir execut";5;0;0
"cso the";0;27;0
"csoport nem";19;0;0
"cspi news";0;2;0
"cst not";0;0;19
"cst via";0;0;15
"csw is";0;0;2
"ctmh say";10;0;0
"ctmh you";10;0;0
"ctr rather";0;0;18
"cu independ";0;11;0
"cuando too";0;0;28
"cub as";0;2;0
"cub blackhawk";0;0;31
"cub curs";0;25;0
"cuba also";35;0;0
"cuba specif";0;21;0
"cuban dictat";0;29;0
"cuban pan";0;34;0
"cubbyhol with";0;4;0
"cubic feet";42;0;0
"cuccinelli who";0;34;0
"cuddl here";0;0;5
"cuddl they";2;0;0
"cue a";0;0;66
"cue “ooooh";18;0;0
"cuf while";0;27;0
"cuff and";7;0;0
"cuisin at";0;26;0
"cuisin of";0;2;0
"culinari attract";0;2;0
"cull off";5;0;0
"cullen and";42;0;0
"cullen has";6;0;0
"cullen know";0;0;1
"culpepp virginia";1;0;0
"cult film";34;0;0
"cultiv and";0;13;0
"cultiv the";19;0;0
"cultur and";17;0;0
"cultur anthropologist";0;0;31
"cultur argentin";0;3;0
"cultur as";0;38;0
"cultur at";0;41;0
"cultur chang";0;0;22
"cultur dimensions’";26;0;0
"cultur exposur";29;0;0
"cultur fit";0;0;52
"cultur habit";26;0;0
"cultur has";26;0;0
"cultur have";33;0;0
"cultur i";4;0;0
"cultur in";0;26;0
"cultur indic";78;0;0
"cultur individu";26;0;0
"cultur it";26;0;0
"cultur norm";2;0;0
"cultur of";64;0;0
"cultur organ";0;0;54
"cultur practic";0;6;0
"cultur spain";0;5;0
"cultur that";27;37;0
"cultur unfold";0;5;0
"culture” one";0;9;0
"culturegrrl a";0;41;0
"culver citi";0;0;48
"cum in";20;0;0
"cum of";0;4;0
"cumberland join";0;21;0
"cumberland news";0;1;0
"cumin and";33;0;0
"cummerbund pass";0;18;0
"cun intent";4;0;0
"cun the";36;0;0
"cunningham and";0;29;0
"cunningham in";0;23;0
"cunt mind";0;0;4
"cunt tell";0;0;23
"cup accredit";4;0;0
"cup add";29;0;0
"cup again”";0;8;0
"cup and";21;18;0
"cup butter";2;0;0
"cup clay";0;0;61
"cup corn";1;0;0
"cup custard";0;26;0
"cup egyptian";13;0;0
"cup golden";0;11;0
"cup holder";8;0;0
"cup measur";29;0;0
"cup mushroom";1;0;0
"cup of";66;31;20
"cup oil";0;12;0
"cup open";24;0;0
"cup playoff";21;0;0
"cup powder";4;0;0
"cup reserv";0;4;0
"cup roast";6;0;0
"cup sugar";1;0;0
"cup team";0;2;0
"cup that";0;3;0
"cup thin";0;14;0
"cup three";0;37;0
"cup throw";0;0;61
"cup unbleach";17;0;0
"cup unsalt";0;1;0
"cup water";2;0;0
"cup you";22;0;0
"cup your";1;0;0
"cupboard the";2;0;0
"cupcak and";38;0;0
"cupcak are";1;0;0
"cupcak becaus";7;0;0
"cupcak in";30;0;0
"cupcak liner";7;0;0
"cupcak realli";22;0;0
"cupcak that";0;36;0
"cupcak to";7;0;0
"cupertinobas appl";0;11;0
"cupuacu butter";4;0;0
"cur fri";0;0;4
"curado said";39;0;0
"curat alexandra";0;0;65
"curat and";0;11;0
"curb an";34;0;0
"curb creativ";0;0;31
"curb illeg";0;1;0
"curb it";13;0;0
"curbsid and";4;0;0
"curd add";2;0;0
"curd develop";14;0;0
"curd pillow";14;0;0
"curdl below";3;0;0
"cure and";0;6;0
"cure be";0;27;0
"cure brine";0;32;0
"cure her";1;0;0
"cure pm";0;32;0
"cure take";0;19;0
"cure the";8;31;0
"curi resourc";0;31;0
"curios anticip";0;14;0
"curios as";32;0;0
"curios becaus";20;0;0
"curios got";30;0;0
"curious about";0;0;57
"curious and";34;0;0
"curious anywher";1;0;0
"curious but";31;0;0
"curious eh";4;0;0
"curious george’";1;0;0
"curious if";0;0;3
"curious let";12;0;0
"curious music";0;3;0
"curious that";2;0;0
"curious to";0;0;16
"curious what";31;0;0
"curl around";20;0;0
"curl iron";4;0;0
"curl on";0;11;0
"curl when";0;0;28
"currenc a";0;1;0
"currenc bloc";0;31;0
"currenc convert";0;0;23
"currenc invest";0;13;0
"currenc issu";0;41;0
"currenc strategi";0;13;0
"currenc the";0;33;0
"current and";34;0;0
"current appear";41;0;0
"current are";22;0;0
"current array";38;0;0
"current avail";45;0;0
"current back";2;0;0
"current be";9;0;0
"current budget";3;0;0
"current busi";0;7;0
"current but";0;47;0
"current cavali";0;2;0
"current chemic";8;0;0
"current chief";0;49;0
"current collect";14;3;0
"current crack";0;0;2
"current crop";0;3;0
"current debat";0;43;0
"current discrimin";0;15;0
"current economi";0;11;0
"current event";0;4;13
"current exhibit";0;0;8
"current favourit";3;0;0
"current five";19;0;0
"current fli";0;7;0
"current for";25;0;0
"current furnitur";1;0;0
"current held";0;3;0
"current i’m";15;0;0
"current in";9;0;0
"current includ";15;0;0
"current is";0;14;0
"current it";7;0;0
"current layer";1;0;0
"current life";18;0;0
"current list";0;69;0
"current locat";0;11;0
"current love";12;0;0
"current menu";0;45;0
"current mold";0;38;0
"current money";30;0;0
"current nba";0;23;0
"current one";0;4;0
"current or";0;28;0
"current problem";30;0;0
"current publish";38;0;0
"current qbs";0;0;4
"current read";0;0;1
"current sad";0;0;1
"current select";30;0;0
"current serv";0;6;0
"current shift";8;0;0
"current slate";0;42;0
"current streak";0;41;0
"current tast";0;1;0
"current trio";2;0;0
"current unknown";1;0;0
"current use";42;0;31
"current version";0;10;0
"current wide";0;12;0
"current with";26;0;0
"current work";16;0;0
"currentlygo patriot";0;0;2
"curri back";0;0;11
"curri by";6;0;0
"curri carrot";0;0;48
