"sampleBlogs.txt";"sampleNews.txt";"sampleTwitter.txt"
"a canadian";21;0;0
"a cancer";0;27;0
"a candid";23;14;28
"a candl";0;0;1
"a candleladen";0;4;0
"a canin";4;0;0
"a cannibalist";0;19;0
"a canon";0;26;0
"a canopi";9;0;0
"a cap";0;34;0
"a car";0;88;2
"a carboat";33;0;0
"a card";137;0;0
"a cardin";0;8;0
"a care";78;0;0
"a career";0;6;0
"a carpet";0;0;24
"a carrier�or";17;0;0
"a carrot";2;0;0
"a carwash";0;0;37
"a case";4;32;0
"a cash";5;0;19
"a cast";28;0;39
"a castl";41;0;0
"a cat";0;0;55
"a catalyst";1;0;0
"a catch";0;41;0
"a cattl";0;0;39
"a caus";0;61;1
"a caviti";0;0;17
"a ceaseless";11;0;0
"a ceil";11;0;0
"a celebr";0;27;1
"a cello";0;0;20
"a center";0;36;0
"a centerpiec";0;20;0
"a central";7;0;0
"a centuri";0;33;0
"a ceremoni";0;16;0
"a cernan";0;0;13
"a certain";112;53;11
"a certifi";0;16;0
"a cessna";29;0;0
"a cfl";0;0;52
"a chair";18;9;0
"a challeng";16;133;0
"a challenge�even";4;0;0
"a champion";13;4;0
"a championship";0;31;1
"a chanc";207;36;0
"a chance”";0;0;53
"a chang";34;24;0
"a change�";0;49;0
"a changeup";0;10;0
"a chaotic";1;0;0
"a charact";70;0;0
"a characterist";0;0;50
"a charm";3;0;0
"a charmer";0;0;76
"a charter";0;35;0
"a chase";5;0;0
"a chat";44;0;1
"a chauffeur";0;0;1
"a cheap";1;2;0
"a check";44;27;0
"a checkingcreditdebit";0;0;13
"a cheeki";0;0;33
"a cheer";0;50;0
"a chef";0;26;0
"a chemic";0;2;0
"a chemistri";0;2;0
"a chequ";20;0;0
"a cherish";0;10;0
"a chess";3;0;0
"a chicago";0;36;0
"a chick";0;0;28
"a chicken";0;27;0
"a child";232;60;69
"a childhood";0;39;0
"a children";4;0;0
"a children’";16;0;0
"a chinaon";26;0;0
"a chines";0;39;0
"a chocol";2;0;0
"a choic";32;36;131
"a choppi";0;3;0
"a chorus";0;26;0
"� christa";8;0;0
"a christian";49;18;2
"a christma";34;0;0
"a chunk";0;39;0
"a church";34;5;65
"a ciabatta";1;0;0
"a cigarett";0;27;0
"a cim�";1;0;0
"a circuit";26;0;0
"a citi";8;21;0
"a citizen";0;13;0
"a civil";1;0;0
"a civilis";23;0;0
"a class";0;0;60
"a classic";29;50;0
"a classroom";3;0;0
"a clean";59;0;5
"a cleaner";29;3;0
"a clear";59;57;22
"a clearer";29;0;0
"a cleat";0;1;0
"a clench";0;2;0
"a cleveland";0;2;0
"a clever";42;0;0
"a client";11;0;43
"a cliff";0;21;0
"a cliffhang";0;0;1
"a climat";0;44;0
"a clip�aaron";0;11;0
"a close";0;69;0
"a closeout";0;0;53
"a closer";0;7;46
"a cloth";2;0;0
"a cloud";20;0;0
"a club";0;4;23
"a clue";0;1;35
"a cluster";0;5;0
"a cm";0;1;0
"a coach";29;22;0
"a coat";9;0;0
"a cocktail";0;19;0
"a cocoa";0;0;5
"a code";53;0;9
"a coffe";0;0;88
"a cold";0;0;28
"a cole";0;1;0
"a collar";21;0;0
"a colleagu";0;6;0
